0,01098; 43,32553
0,04430; 45,37782
0,07761; 47,41985
0,11093; 49,37980
0,14424; 51,23712
0,17756; 52,80713
0,21087; 54,11034
0,24418; 55,18779
0,27750; 56,03950
0,31081; 56,64492
0,34413; 57,11695
0,37744; 57,40427
0,41075; 57,60950
0,44407; 57,73264
0,47738; 57,73264
0,51070; 57,73264
0,54401; 57,73264
0,57732; 57,57872
0,61064; 57,29140
0,64395; 56,86041
0,67727; 56,29603
0,71058; 55,56747
0,74389; 54,59263
0,77721; 53,41256
0,81052; 51,91438
0,84384; 50,24176
0,87715; 48,41522
0,91047; 46,28083
0,94378; 43,86938
0,97558; 41,42202
0,99678; 39,84175
